nid,年份,石油可供量,石油生产量,石油进口量,石油出口量,石油消费量,农林牧渔业石油消费量,工业石油消费量,建筑业石油消费量,交通运输仓储和邮政业石油消费量,批发和零售业住宿和餐饮业石油消费量,其他石油消费量,居民生活石油消费量
1,1980,8794.5万吨,10594.6万吨,82.7万吨,1806.2万吨,8757.4万吨,814.9万吨,6203.2万吨,175.2万吨,911.5万吨,29万吨,481.7万吨,141.9万吨
2,1985,9193.7万吨,12489.5万吨,90万吨,3630.4万吨,9168.8万吨,758.7万吨,6171.4万吨,292.2万吨,1176.4万吨,38.1万吨,506.1万吨,225.9万吨
3,1990,11435万吨,13830.6万吨,755.6万吨,3110.4万吨,11485.6万吨,1033.6万吨,7321.6万吨,327.3万吨,1683.2万吨,77.6万吨,757.8万吨,284.5万吨
4,1995,16072.7万吨,15004.4万吨,3673.2万吨,2454.5万吨,16064.9万吨,1203.2万吨,9349.3万吨,242.8万吨,2863.6万吨,333.9万吨,1390.3万吨,682万吨
5,2000,22631.4万吨,16300万吨,9748.5万吨,2172.1万吨,22495.9万吨,788.5万吨,11248.5万吨,840.6万吨,6399万吨,247万吨,1635.9万吨,1336.5万吨
6,2005,32539.1万吨,18135.3万吨,17163.2万吨,2888.1万吨,32547万吨,1451.7万吨,14030.4万吨,1502.2万吨,10928.5万吨,375.6万吨,1974.2万吨,2284.4万吨
7,2010,44178.4万吨,20301.4万吨,29437.2万吨,4079万吨,44101万吨,1382.5万吨,18555万吨,2483.1万吨,15079.3万吨,481万吨,2578.2万吨,3541.9万吨
8,2011,45659.2万吨,20287.6万吨,31593.7万吨,4117万吨,45619.5万吨,1466.3万吨,17986万吨,2581.8万吨,16221.1万吨,500万吨,2880.5万吨,3983.9万吨
9,2012,47864.7万吨,20747.8万吨,33088.8万吨,3884.3万吨,47797.3万吨,1537.9万吨,17753.2万吨,2740.7万吨,17863.6万吨,542.4万吨,3067.8万吨,4291.6万吨
10,2013,49993.9万吨,20991.9万吨,34264.8万吨,4176.7万吨,49970.6万吨,1650.3万吨,17594.6万吨,3090.6万吨,18967.6万吨,565.4万吨,3349.7万吨,4752.4万吨
11,2014,52061.8万吨,21142.9万吨,36179.6万吨,4213.9万吨,51859.4万吨,1717.7万吨,18357.5万吨,3205.3万吨,19558.5万吨,563.2万吨,3152万吨,5305.2万吨
12,2015,55688万吨,21455.6万吨,39748.6万吨,5128.2万吨,55960.2万吨,1733.4万吨,19718万吨,3384.3万吨,20663.1万吨,615.7万吨,3683.3万吨,6162.2万吨
13,2016,57710.6万吨,19968.5万吨,44502.9万吨,6382.9万吨,57692.9万吨,1730.3万吨,20382.5万吨,3599.1万吨,21146.1万吨,584.9万吨,3537.1万吨,6712.8万吨
14,2017,60810.8万吨,19150.6万吨,49141.23万吨,7026.66万吨,60395.9万吨,1786.4万吨,21486.7万吨,3803.5万吨,22075.8万吨,601.1万吨,3502.7万吨,7139.7万吨
15,2018,63726.6万吨,18932.4万吨,54094.27万吨,7557.41万吨,62245.1万吨,1724.9万吨,22460.3万吨,3935.7万吨,22738.6万吨,599万吨,3458.2万吨,7328.4万吨
