nid,年份,煤炭可供量,煤炭生产量,煤炭进口量,煤炭出口量,煤炭消费量,农林牧渔业煤炭消费量,工业煤炭消费量,建筑业煤炭消费量,交通运输仓储和邮政业煤炭消费量,批发和零售业住宿和餐饮业煤炭消费量,其他煤炭消费量,居民生活煤炭消费量
1,1980,62601万吨,62015万吨,199万吨,632万吨,61010万吨,1550万吨,43848万吨,556万吨,1934万吨,455万吨,1091万吨,11574万吨
2,1985,82777万吨,87228万吨,231万吨,777万吨,81603万吨,2209万吨,58613万吨,532万吨,2307万吨,738万吨,1580万吨,15624万吨
3,1990,102221万吨,107988万吨,200万吨,1729万吨,105523万吨,2095万吨,81091万吨,438万吨,2161万吨,1058万吨,1980万吨,16700万吨
4,1995,133462万吨,136073万吨,164万吨,2862万吨,137677万吨,1857万吨,117571万吨,440万吨,1315万吨,977万吨,1987万吨,13530万吨
5,2000,131895万吨,138418万吨,218万吨,5506万吨,135690万吨,1051万吨,121807万吨,537万吨,882万吨,1461万吨,1495万吨,8457万吨
6,2005,235508万吨,236515万吨,2622万吨,7173万吨,243375万吨,1802万吨,224766万吨,604万吨,811万吨,2627万吨,2727万吨,10039万吨
7,2010,355578万吨,342845万吨,18307万吨,1911万吨,349008万吨,2147万吨,329728万吨,731万吨,639万吨,3192万吨,3412万吨,9159万吨
8,2011,393058万吨,376444万吨,22236万吨,1467万吨,388961万吨,2207万吨,368916万吨,797万吨,646万吨,3572万吨,3612万吨,9212万吨
9,2012,418654万吨,394513万吨,28841万吨,927万吨,411727万吨,2266万吨,391191万吨,767万吨,614万吨,3752万吨,3883万吨,9253万吨
10,2013,425015万吨,397432万吨,32702万吨,751万吨,424426万吨,2451万吨,403157万吨,811万吨,615万吨,3966万吨,4136万吨,9290万吨
11,2014,411834万吨,387392万吨,29122万吨,574万吨,413633万吨,2479万吨,392567万吨,914万吨,558万吨,3767万吨,4046万吨,9303万吨
12,2015,397074万吨,374654万吨,20406万吨,534万吨,399834万吨,2625万吨,378190万吨,878万吨,492万吨,3864万吨,4159万吨,9627万吨
13,2016,378494万吨,341060万吨,25555万吨,879万吨,388820万吨,2778万吨,367435万吨,805万吨,404万吨,3826万吨,4081万吨,9492万吨
14,2017,383480万吨,352356万吨,27093万吨,809万吨,391403万吨,2834万吨,371160万吨,733万吨,353万吨,3461万吨,3580万吨,9283万吨
15,2018,394848万吨,369774万吨,28210万吨,494万吨,397452万吨,2363万吨,380696万吨,650万吨,321万吨,2686万吨,3021万吨,7714万吨
